pmid,citations,title,date,text
30439700,2.0,Modern Information Technology for Cancer Research: What's in IT for Me? An Overview of Technologies and Approaches,2020;98(6):363-369.,"Information technology (IT) can enhance or change many scenarios in cancer research for the better. In this paper, we introduce several examples, starting with clinical data reuse and collaboration including data sharing in research networks. Key challenges are semantic interoperability and data access (including data privacy). We deal with gathering and analyzing genomic information, where cloud computing, uncertainties and reproducibility challenge researchers. Also, new sources for additional phenotypical data are shown in patient-reported outcome and machine learning in imaging. Last, we focus on therapy assistance, introducing tools used in molecular tumor boards and techniques for computer-assisted surgery. We discuss the need for metadata to aggregate and analyze data sets reliably. We conclude with an outlook towards a learning health care system in oncology, which connects bench and bedside by employing modern IT solutions."
30430428,17.0,Radiomics and liquid biopsy in oncology: the holons of systems medicine,2018 Dec;9(6):915-924.,"Radiomics is a process of extraction and analysis of quantitative features from diagnostic images. Liquid biopsy is a test done on a sample of blood to look for cancer cells or for pieces of tumourigenic DNA circulating in the blood. Radiomics and liquid biopsy have great potential in oncology, since both are minimally invasive, easy to perform, and can be repeated in patient follow-up visits, enabling the extraction of valuable information regarding tumour type, aggressiveness, progression, and response to treatment. Both methods are in their infancy, with major evidence of application in lung and gastrointestinal cancer, while still undergoing evaluation in other cancer types. In this paper, the main oncologic applications of radiomics and liquid biopsy are reviewed, and a synergistic approach incorporating both tests for cancer diagnosis and follow-up is discussed within the context of systems medicine. TEACHING POINTS: • Radiomics is a process of extraction and analysis of quantitative features from diagnostic images. • Most clinical applications of radiomics are in the field of oncologic imaging. • Radiomics applies to all imaging modalities. • A cluster of radiomic features is a ""radiomic signature"". • Machine learning may improve the efficacy of radiomics analysis."
30421670,,Machine Learning Methods in Precision Medicine Targeting Epigenetic Diseases,2018;24(34):3998-4006.,"Background:                    On a tide of big data, machine learning is coming to its day. Referring to huge amounts of epigenetic data coming from biological experiments and clinic, machine learning can help in detecting epigenetic features in genome, finding correlations between phenotypes and modifications in histone or genes, accelerating the screen of lead compounds targeting epigenetics diseases and many other aspects around the study on epigenetics, which consequently realizes the hope of precision medicine.              Methods:                    In this minireview, we will focus on reviewing the fundamentals and applications of machine learning methods which are regularly used in epigenetics filed and explain their features. Their advantages and disadvantages will also be discussed.              Results:                    Machine learning algorithms have accelerated studies in precision medicine targeting epigenetics diseases.              Conclusion:                    In order to make full use of machine learning algorithms, one should get familiar with the pros and cons of them, which will benefit from big data by choosing the most suitable method(s)."
30420264,3.0,Prognostic models in primary biliary cholangitis,2018 Dec;95:171-178.,"Risk prediction modelling is important to better understand the determinants of the course and outcome of PBC and to inform the risk across the disease continuum in PBC enabling risk-stratified follow-up care and personalised therapy. Current prognostic models in PBC are based on treatment response to ursodeoxycholic acid because of the well-established relationship between alkaline phosphatase on treatment and long-term outcome. In addition, serum alkaline phosphatase correlates with ductular reaction and biliary metaplasia, which are hallmark of biliary injury. Considering the waiting time for treatment failure in high-risk patients is not inconsequential, efforts are focused on bringing forward risk stratification at diagnosis by predicting treatment response at onset. There is a need for better prognostic variables that are central to the disease process. We should take an integrative approach that incorporates multiple layers of information including genetic and environmental influences, host characteristics, clinical data, and molecular alterations for risk assessments. Biomarker discovery has an accelerated pace taking advantage of the emergence of large-scale omics platforms (genomics, epigenomics, transcriptomics, proteomics, metabolomics, and others) and whole-genome sequencing. In the digital era, applications of artificial intelligence, such as machine learning, can support the computing power required to analyse the vast amount of data produced by omics. The information is then used for the development of personalised risk prediction models that through clinical trials and hopefully industry partnerships can guide risk management strategies. We are facing an unprecedented opportunity for the integration of molecular diagnostics into the clinic, which promotes progress toward the personalised management of patients with PBC."
30420244,12.0,Computational methods for Gene Regulatory Networks reconstruction and analysis: A review,2019 Apr;95:133-145.,"In the recent years, the vast amount of genetic information generated by new-generation approaches, have led to the need of new data handling methods. The integrative analysis of diverse-nature gene information could provide a much-sought overview to study complex biological systems and processes. In this sense, Gene Regulatory Networks (GRN) arise as an increasingly-promising tool for the modelling and analysis of biological processes. This review is an attempt to summarize the state of the art in the field of GRNs. Essential points in the field are addressed, thereof: (a) the type of data used for network generation, (b) machine learning methods and tools used for network generation, (c) model optimization and (d) computational approaches used for network validation. This survey is intended to provide an overview of the subject for readers to improve their knowledge in the field of GRN for future research."
30418085,8.0,Systems Biology and Machine Learning in Plant-Pathogen Interactions,2019 Jan;32(1):45-55.,"Systems biology is an inclusive approach to study the static and dynamic emergent properties on a global scale by integrating multiomics datasets to establish qualitative and quantitative associations among multiple biological components. With an abundance of improved high throughput -omics datasets, network-based analyses and machine learning technologies are playing a pivotal role in comprehensive understanding of biological systems. Network topological features reveal most important nodes within a network as well as prioritize significant molecular components for diverse biological networks, including coexpression, protein-protein interaction, and gene regulatory networks. Machine learning techniques provide enormous predictive power through specific feature extraction from biological data. Deep learning, a subtype of machine learning, has plausible future applications because a domain expert for feature extraction is not needed in this algorithm. Inspired by diverse domains of biology, we here review classic systems biology techniques applied in plant immunity thus far. We also discuss additional advanced approaches in both graph theory and machine learning, which may provide new insights for understanding plant-microbe interactions. Finally, we propose a hybrid approach in plant immune systems that harnesses the power of both network biology and machine learning, with a potential to be applicable to both model systems and agronomically important crop plants."
30417778,3.0,Convolutional Neural Networks for ATC Classification,2018;24(34):4007-4012.,"Background:                    Anatomical Therapeutic Chemical (ATC) classification of unknown compound has raised high significance for both drug development and basic research. The ATC system is a multi-label classification system proposed by the World Health Organization (WHO), which categorizes drugs into classes according to their therapeutic effects and characteristics. This system comprises five levels and includes several classes in each level; the first level includes 14 main overlapping classes. The ATC classification system simultaneously considers anatomical distribution, therapeutic effects, and chemical characteristics, the prediction for an unknown compound of its ATC classes is an essential problem, since such a prediction could be used to deduce not only a compound's possible active ingredients but also its therapeutic, pharmacological, and chemical properties. Nevertheless, the problem of automatic prediction is very challenging due to the high variability of the samples and the presence of overlapping among classes, resulting in multiple predictions and making machine learning extremely difficult.              Methods:                    In this paper, we propose a multi-label classifier system based on deep learned features to infer the ATC classification. The system is based on a 2D representation of the samples: first a 1D feature vector is obtained extracting information about a compound's chemical-chemical interaction and its structural and fingerprint similarities to other compounds belonging to the different ATC classes, then the original 1D feature vector is reshaped to obtain a 2D matrix representation of the compound. Finally, a convolutional neural network (CNN) is trained and used as a feature extractor. Two general purpose classifiers designed for multi-label classification are trained using the deep learned features and resulting scores are fused by the average rule.              Results:                    Experimental evaluation based on rigorous cross-validation demonstrates the superior prediction quality of this method compared to other state-of-the-art approaches developed for this problem.              Conclusion:                    Extensive experiments demonstrate that the new predictor, based on CNN, outperforms other existing predictors in the literature in almost all the five metrics used to examine the performance for multi-label systems, particularly in the ""absolute true"" rate and the ""absolute false"" rate, the two most significant indexes. Matlab code will be available at https://github.com/LorisNanni."
30417258,9.0,Applying machine learning to continuously monitored physiological data,2019 Oct;33(5):887-893.,"The use of machine learning (ML) in healthcare has enormous potential for improving disease detection, clinical decision support, and workflow efficiencies. In this commentary, we review published and potential applications for the use of ML for monitoring within the hospital environment. We present use cases as well as several questions regarding the application of ML to the analysis of the vast amount of complex data that clinicians must interpret in the realm of continuous physiological monitoring. ML, especially employed in bidirectional conjunction with electronic health record data, has the potential to extract much more useful information out of this currently under-analyzed data source from a population level. As a data driven entity, ML is dependent on copious, high quality input data so that error can be introduced by low quality data sources. At present, while ML is being studied in hybrid formulations along with static expert systems for monitoring applications, it is not yet actively incorporated in the formal artificial learning sense of an algorithm constantly learning and updating its rules without external intervention. Finally, innovations in monitoring, including those supported by ML, will pose regulatory and medico-legal challenges, as well as questions regarding precisely how to incorporate these features into clinical care and medical education. Rigorous evaluation of ML techniques compared to traditional methods or other AI methods will be required to validate the algorithms developed with consideration of database limitations and potential learning errors. Demonstration of value on processes and outcomes will be necessary to support the use of ML as a feature in monitoring system development: Future research is needed to evaluate all AI based programs before clinical implementation in non-research settings."
30414395,5.0,Human and computational models of atopic dermatitis: A review and perspectives by an expert panel of the International Eczema Council,2019 Jan;143(1):36-45.,"Atopic dermatitis (AD) is a prevalent disease worldwide and is associated with systemic comorbidities representing a significant burden on patients, their families, and society. Therapeutic options for AD remain limited, in part because of a lack of well-characterized animal models. There has been increasing interest in developing experimental approaches to study the pathogenesis of human AD in vivo, in vitro, and in silico to better define pathophysiologic mechanisms and identify novel therapeutic targets and biomarkers that predict therapeutic response. This review critically appraises a range of models, including genetic mutations relevant to AD, experimental challenge of human skin in vivo, tissue culture models, integration of ""omics"" data sets, and development of predictive computational models. Although no one individual model recapitulates the complex AD pathophysiology, our review highlights insights gained into key elements of cutaneous biology, molecular pathways, and therapeutic target identification through each approach. Recent developments in computational analysis, including application of machine learning and a systems approach to data integration and predictive modeling, highlight the applicability of these methods to AD subclassification (endotyping), therapy development, and precision medicine. Such predictive modeling will highlight knowledge gaps, further inform refinement of biological models, and support new experimental and systems approaches to AD."
30410432,20.0,Deep Learning With Spiking Neurons: Opportunities and Challenges,2018 Oct 25;12:774.,"Spiking neural networks (SNNs) are inspired by information processing in biology, where sparse and asynchronous binary signals are communicated and processed in a massively parallel fashion. SNNs on neuromorphic hardware exhibit favorable properties such as low power consumption, fast inference, and event-driven information processing. This makes them interesting candidates for the efficient implementation of deep neural networks, the method of choice for many machine learning tasks. In this review, we address the opportunities that deep spiking networks offer and investigate in detail the challenges associated with training SNNs in a way that makes them competitive with conventional deep learning, but simultaneously allows for efficient mapping to hardware. A wide range of training methods for SNNs is presented, ranging from the conversion of conventional deep networks into SNNs, constrained training before conversion, spiking variants of backpropagation, and biologically motivated variants of STDP. The goal of our review is to define a categorization of SNN training methods, and summarize their advantages and drawbacks. We further discuss relationships between SNNs and binary networks, which are becoming popular for efficient digital hardware implementation. Neuromorphic hardware platforms have great potential to enable deep spiking networks in real-world applications. We compare the suitability of various neuromorphic systems that have been developed over the past years, and investigate potential use cases. Neuromorphic approaches and conventional machine learning should not be considered simply two solutions to the same classes of problems, instead it is possible to identify and exploit their task-specific advantages. Deep SNNs offer great opportunities to work with new types of event-based sensors, exploit temporal codes and local on-chip learning, and we have so far just scratched the surface of realizing these advantages in practical applications."
