pmid,title,date,text,citations
32578067,Machine Learning Within Studies of Early-Life Environmental Exposures and Child Health: Review of the Current Literature and Discussion of Next Steps,2020 Sep;7(3):170-184.,"Purpose of review:                    The goal of this article is to review the use of machine learning (ML) within studies of environmental exposures and children's health, identify common themes across studies, and provide recommendations to advance their use in research and practice.              Recent findings:                    We identified 42 articles reporting upon the use of ML within studies of environmental exposures and children's health between 2017 and 2019. The common themes among the articles were analysis of mixture data, exposure prediction, disease prediction and forecasting, analysis of complex data, and causal inference. With the increasing complexity of environmental health data, we anticipate greater use of ML to address the challenges that cannot be handled by traditional analytics. In order for these methods to beneficially impact public health, the ML techniques we use need to be appropriate for our study questions, rigorously evaluated and reported in a way that can be critically assessed by the scientific community.",
32576276,"""Right-to-Try"" experimental drugs: an overview",2020 Jun 23;18(1):253.,"The ""Right-to-Try"" experimental drugs act passed by Donald Trump in 2018 provides an opportunity of early access to experimental drugs for the treatment of life-threatening diseases and a potential boon to many young and under-capitalized biotechnology or pharmaceutical companies. The pros and cons of experimental drugs, including a number of ""cutting edge"" scientific, clinical, and a number of synergistic approaches such as artificial intelligence, machine learning, big data, data refineries, electronic health records, data driven clinical decisions and risk mitigation are reviewed.",
32575560,"Current Applications, Opportunities, and Limitations of AI for 3D Imaging in Dental Research and Practice",2020 Jun 19;17(12):4424.,"The increasing use of three-dimensional (3D) imaging techniques in dental medicine has boosted the development and use of artificial intelligence (AI) systems for various clinical problems. Cone beam computed tomography (CBCT) and intraoral/facial scans are potential sources of image data to develop 3D image-based AI systems for automated diagnosis, treatment planning, and prediction of treatment outcome. This review focuses on current developments and performance of AI for 3D imaging in dentomaxillofacial radiology (DMFR) as well as intraoral and facial scanning. In DMFR, machine learning-based algorithms proposed in the literature focus on three main applications, including automated diagnosis of dental and maxillofacial diseases, localization of anatomical landmarks for orthodontic and orthognathic treatment planning, and general improvement of image quality. Automatic recognition of teeth and diagnosis of facial deformations using AI systems based on intraoral and facial scanning will very likely be a field of increased interest in the future. The review is aimed at providing dental practitioners and interested colleagues in healthcare with a comprehensive understanding of the current trend of AI developments in the field of 3D imaging in dental medicine.",1.0
32570374,Emerging Concepts and Applied Machine Learning Research in Patients with Drug-Induced Repolarization Disorders,2020 Jun 16;270:198-202.,"The paper presents a review of current research to develop predictive models for automated detection of drug-induced repolarization disorders and shows a feasibility study for developing machine learning tools trained on massive multimodal datasets of narrative, textual and electrocardiographic records. The goal is to reduce drug-induced long QT and associated complications (Torsades-de-Pointes, sudden cardiac death), by identifying prescription patterns with pro-arrhythmic propensity using a validated electronic application for the detection of adverse drug events with data mining and natural language processing; and to compute individual-based predictive scores in order to further identify clinical conditions, concomitant diseases, or other variables that correlate with higher risk of pro-arrhythmic situations.",
32568489,An Examination of Emerging Bioethical Issues in Biomedical Research: Proceedings of a Workshop,,"On February 26, 2020, the Board on Health Sciences Policy of the National Academies of Sciences, Engineering, and Medicine hosted a 1-day public workshop in Washington, DC, to examine current and emerging bioethical issues that might arise in the context of biomedical research and to consider research topics in bioethics that could benefit from further attention. The scope of bioethical issues in research is broad, but this workshop focused on issues related to the development and use of digital technologies, artificial intelligence, and machine learning in research and clinical practice; issues emerging as nontraditional approaches to health research become more widespread; the role of bioethics in addressing racial and structural inequalities in health; and enhancing the capacity and diversity of the bioethics workforce. This publication summarizes the presentations and discussions from the workshop.",
32567390,In silico models for genotoxicity and drug regulation,2020 Aug;16(8):651-662.,"Introduction:                    Whereas in the past, (Q)SAR methods have been largely used to support the design of new drugs, in the last few decades, there has been a new interest in its applications for the assessment of drug safety. In particular, the ICH M7 guideline has introduced the concept that (Q)SAR predictions for the Ames mutagenicity of drug impurities can be used for regulatory purposes.              Areas covered:                    This review introduces the ICH M7 conceptual framework and illustrates the most updated evaluations of the in silico approaches for the prediction of genotoxicity. The strengths and weaknesses of the state-of-the-art are presented and future perspectives are discussed.              Expert opinion:                    Given the growing recognition of (Q)SAR approaches, more investment will be devoted to its improvement. The major areas of research should be the expansion and curation of the experimental training sets, with particular attention to the portions of chemical space which are poorly represented. New modeling methodologies (e.g. machine-learning methods) may support this effort, particularly for treating proprietary data without disclosure. Research on new integrative approaches for regulatory decisions will also be important.",1.0
32567255,Drawing Guidelines for Receiver Operating Characteristic Curve in Preparation of Manuscripts,2020 Jun 22;35(24):e171.,"The appropriate plot effectively conveys the author's conclusions to the readers. The Journal of Korean Medical Science provides a series of special articles to show you how to make consistent and excellent plots easier. In the second article, drawing receiver operating characteristic (ROC) curve is introduced. A ROC curve is a graphic plot that illustrates the diagnostic ability as its discrimination threshold is varied. It is widely used as logistic regression analysis as machine learning becomes widespread. It has great visual effect in comparing various diagnostic tools.",
32566759,Machine learning approaches to drug response prediction: challenges and recent progress,2020 Jun 15;4:19.,"Cancer is a leading cause of death worldwide. Identifying the best treatment using computational models to personalize drug response prediction holds great promise to improve patient's chances of successful recovery. Unfortunately, the computational task of predicting drug response is very challenging, partially due to the limitations of the available data and partially due to algorithmic shortcomings. The recent advances in deep learning may open a new chapter in the search for computational drug response prediction models and ultimately result in more accurate tools for therapy response. This review provides an overview of the computational challenges and advances in drug response prediction, and focuses on comparing the machine learning techniques to be of utmost practical use for clinicians and machine learning non-experts. The incorporation of new data modalities such as single-cell profiling, along with techniques that rapidly find effective drug combinations will likely be instrumental in improving cancer care.",5.0
32563708,The compatibility of theoretical frameworks with machine learning analyses in psychological research,2020 Dec;36:83-88.,"Supervised machine learning has been increasingly used in psychology and psychiatry research. Machine learning offers an important advantage over traditional statistical analyses: statistical model training in example data to enhance predictions in external test data. Additional advantages include advanced, improved statistical algorithms, and empirical methods to select a smaller set of predictor variables. Yet machine learning researchers often use large numbers of predictor variables, without using theory to guide variable selection. Such approach leads to Type I error, spurious findings, and decreased generalizability. We discuss the importance of theory to the psychology field. We offer suggestions for using theory to drive variable selection and data analyses using machine learning in psychological research, including an example from the cyberpsychology field.",
32562154,Artificial Intelligence-Enabled ECG: a Modern Lens on an Old Technology,2020 Jun 19;22(8):57.,"Purpose of review:                    To (i) review the concept of artificial intelligence (AI); (ii) summarize recent developments in artificial intelligence-enabled electrocardiogram (AI-ECG); (iii) address notable inherent limitations and challenges of AI-ECG; and (iv) discuss the future direction of the field.              Recent findings:                    Advancements in machine learning and computing methods have led to application of AI-ECG and potential new applications to patient care. Further study is needed to verify previous findings in diverse populations as well as begin to confront the limitations needed for clinical implementation. Nearly one century after the Nobel Prize was awarded to Willem Einthoven for demonstrating that an electrocardiogram (ECG) could record the electrical signature of the heart, the ECG remains one of the most important diagnostic tests in modern medicine. We now stand at the edge of true ECG innovation. Simultaneous advancements in computing power, wireless technology, digitized data availability, and machine learning have led to the birth of AI-ECG algorithms with novel capabilities and real potential for clinical application. AI has the potential to improve diagnostic accuracy and efficiency by providing fully automated, unbiased, and unambiguous ECG analysis along with promising new findings that may unlock new value in the ECG. These breakthroughs may cause a paradigm shift in clinical workflow as well as patient monitoring and management.",1.0
