pmid,title,date,text,citations
32673788,Extraction of temporal relations from clinical free text: A systematic review of current approaches,2020 Aug;108:103488.,"Background:                    Temporal relations between clinical events play an important role in clinical assessment and decision making. Extracting such relations from free text data is a challenging task because it lies on between medical natural language processing, temporal representation and temporal reasoning.              Objectives:                    To survey existing methods for extracting temporal relations (TLINKs) between events from clinical free text in English; to establish the state-of-the-art in this field; and to identify outstanding methodological challenges.              Methods:                    A systematic search in PubMed and the DBLP computer science bibliography was conducted for studies published between January 2006 and December 2018. The relevant studies were identified by examining the titles and abstracts. Then, the full text of selected studies was analyzed in depth and information were collected on TLINK tasks, TLINK types, data sources, features selection, methods used, and reported performance.              Results:                    A total of 2834 publications were identified for title and abstract screening. Of these publications, 51 studies were selected. Thirty-two studies used machine learning approaches, 15 studies used a hybrid approaches, and only four studies used a rule-based approach. The majority of studies use publicly available corpora: THYME (28 studies) and the i2b2 corpus (17 studies).              Conclusion:                    The performance of TLINK extraction methods ranges widely depending on relation types and events (e.g. from 32% to 87% F-score for identifying relations between clinical events and document creation time). A small set of TLINKs (before, after, overlap and contains) has been widely studied with relatively good performance, whereas other types of TLINK (e.g., started by, finished by, precedes) are rarely studied and remain challenging. Machine learning classifiers (such as Support Vector Machine and Conditional Random Fields) and Deep Neural Networks were among the best performing methods for extracting TLINKs, but nearly all the work has been carried out and tested on two publicly available corpora only. The field would benefit from the availability of more publicly available, high-quality, annotated clinical text corpora.",
32672961,Transfer Learning for Drug Discovery,2020 Aug 27;63(16):8683-8694.,"The data sets available to train models for in silico drug discovery efforts are often small. Indeed, the sparse availability of labeled data is a major barrier to artificial-intelligence-assisted drug discovery. One solution to this problem is to develop algorithms that can cope with relatively heterogeneous and scarce data. Transfer learning is a type of machine learning that can leverage existing, generalizable knowledge from other related tasks to enable learning of a separate task with a small set of data. Deep transfer learning is the most commonly used type of transfer learning in the field of drug discovery. This Perspective provides an overview of transfer learning and related applications to drug discovery to date. Furthermore, it provides outlooks on the future development of transfer learning for drug discovery.",
32671229,Harnessing repeated measurements of predictor variables for clinical risk prediction: a review of existing methods,2020 Jul 9;4:9.,"Background:                    Clinical prediction models (CPMs) predict the risk of health outcomes for individual patients. The majority of existing CPMs only harness cross-sectional patient information. Incorporating repeated measurements, such as those stored in electronic health records, into CPMs may provide an opportunity to enhance their performance. However, the number and complexity of methodological approaches available could make it difficult for researchers to explore this opportunity. Our objective was to review the literature and summarise existing approaches for harnessing repeated measurements of predictor variables in CPMs, primarily to make this field more accessible for applied researchers.              Methods:                    MEDLINE, Embase and Web of Science were searched for articles reporting the development of a multivariable CPM for individual-level prediction of future binary or time-to-event outcomes and modelling repeated measurements of at least one predictor. Information was extracted on the following: the methodology used, its specific aim, reported advantages and limitations, and software available to apply the method.              Results:                    The search revealed 217 relevant articles. Seven methodological frameworks were identified: time-dependent covariate modelling, generalised estimating equations, landmark analysis, two-stage modelling, joint-modelling, trajectory classification and machine learning. Each of these frameworks satisfies at least one of three aims: to better represent the predictor-outcome relationship over time, to infer a covariate value at a pre-specified time and to account for the effect of covariate change.              Conclusions:                    The applicability of identified methods depends on the motivation for including longitudinal information and the method's compatibility with the clinical context and available patient data, for both model development and risk estimation in practice.",1.0
32670710,The Future of Concurrent Automated Coronary Artery Calcium Scoring on Screening Low-Dose Computed Tomography,2020 Jun 12;12(6):e8574.,"Low-dose computed tomography (LDCT) has been extensively validated for lung cancer screening in selected patient populations. Additionally, the use of gated cardiac CT to assess coronary artery calcium (CAC) burden has been validated to determine a patient's risk for major cardiovascular adverse events. This is typically performed by calculating an Agatston score based on density and overall burden of calcified plaque within the coronary arteries. Patients that qualify for LDCT for lung cancer screening commonly share major risk factors for coronary artery disease and would frequently benefit from an additional gated cardiac CT for the assessment of CAC. Given the widespread use of LDCT for lung cancer screening, we evaluated current literature regarding the use of non-gated chest CT, specifically LDCT, for the detection and grading of coronary artery calcifications. Additionally, given the evolving and increasing use of artificial intelligence (AI) in the interpretation of radiologic studies, current literature for the use of AI in CAC assessment was reviewed. We reviewed primary scientific literature dating up to April 2020 using Pubmed and Google Scholar, with the search terms low dose CT, lung cancer screening, coronary artery calcium, EKG/cardiac gated CT, deep learning, machine learning, and AI. These publications were then independently evaluated by each member of our team. Overall, there was a consensus within these papers that LDCT for lung cancer screening plays a role in the evaluation of CAC. Most studies note the inherent problems with the evaluation of the density of coronary calcifications on LDCT to give an accurate numeric calcium or Agatston score. The current method of evaluating CAC on LDCT involves using a qualitative categorical system (none, mild, moderate, or severe). When performed by cardiac imaging experts, this method broadly correlates with traditional CAC score groups (0, 1 to 100, 101 to 400, and > 400). Furthermore, given the high sensitivity of a properly protocolled LDCT for coronary calcium, a negative study for CAC precludes the need for a dedicated gated CT assessment. However, qualitative methods are not as accurate or reproducible when performed by general radiologists. The implementation of AI in the LDCT screening process has the potential to give a quantifiable and reproducible numeric value to the calcium score, based on whole heart volume scoring of calcium. This more closely aligns with the Agatston score and serves as a better guide for treatment and risk assessment using current guidelines. We conclude that CAC should be assessed on all LDCT performed for lung cancer screening and that a qualitative categorical scoring system should be provided in the impression for each patient. Early studies involving AI for the assessment of CAC are promising, but more extensive studies are needed before a final recommendation for its use can be given. The implementation of an accurate, automated AI CAC assessment tool would improve radiologist compliance and ease of overall workflow. Ultimately, the potential end result would be improved turnaround time, better patient outcomes, and reduced healthcare costs by maximizing preventative care in this high-risk population.",
32670510,Assessment of vector-host-pathogen relationships using data mining and machine learning,2020 Jun 25;18:1704-1721.,"Infectious diseases, including vector-borne diseases transmitted by arthropods, are a leading cause of morbidity and mortality worldwide. In the era of big data, addressing broad-scale, fundamental questions regarding the complex dynamics of these diseases will increasingly require the integration of diverse datasets to produce new biological knowledge. This review provides a current snapshot of the systematic assessment of the relationships between microbial pathogens, arthropod vectors and mammalian hosts using data mining and machine learning. We employ PRISMA to identify 32 key papers relevant to this topic. Our analysis shows an increasing use of data mining and machine learning tasks and techniques, including prediction, classification, clustering, association rules mining, and deep learning, over the last decade. However, it also reveals a number of critical challenges in applying these to the study of vector-host-pathogen interactions at various systems biology levels. Here, relevant studies, current limitations and future directions are discussed. Furthermore, the quality of data in relevant papers was assessed using the FAIR (Findable, Accessible, Interoperable, Reusable) compliance criteria to evaluate and encourage reproducibility and shareability of research outcomes. Although shortcomings in their application remain, data mining and machine learning have significant potential to break new ground in understanding fundamental aspects of vector-host-pathogen relationships and their application in this field should be encouraged. In particular, while predictive modeling, feature engineering and supervised machine learning are already being used in the field, other data mining and machine learning methods such as deep learning and association rules analysis lag behind and should be implemented in combination with established methods to accelerate hypothesis and knowledge generation in the domain.",1.0
32670474,Artificial Intelligence in Cardiovascular Imaging,Apr-Jun 2020;16(2):138-145.,"The number of cardiovascular imaging studies is growing exponentially, and so is the need to improve clinical workflow efficiency and avoid missed diagnoses. With the availability and use of large datasets, artificial intelligence (AI) has the potential to improve patient care at every stage of the imaging chain. Current literature indicates that in the short-term, AI has the capacity to reduce human error and save time in the clinical workflow through automated segmentation of cardiac structures. In the future, AI may expand the informational value of diagnostic images based on images alone or a combination of images and clinical variables, thus facilitating disease detection, prognosis, and decision making. This review describes the role of AI, specifically machine learning, in multimodality imaging, including echocardiography, nuclear imaging, computed tomography, and cardiac magnetic resonance, and highlights current uses of AI as well as potential challenges to its widespread implementation.",
32669685,Applications of machine learning to diagnosis and treatment of neurodegenerative diseases,2020 Aug;16(8):440-456.,"Globally, there is a huge unmet need for effective treatments for neurodegenerative diseases. The complexity of the molecular mechanisms underlying neuronal degeneration and the heterogeneity of the patient population present massive challenges to the development of early diagnostic tools and effective treatments for these diseases. Machine learning, a subfield of artificial intelligence, is enabling scientists, clinicians and patients to address some of these challenges. In this Review, we discuss how machine learning can aid early diagnosis and interpretation of medical images as well as the discovery and development of new therapies. A unifying theme of the different applications of machine learning is the integration of multiple high-dimensional sources of data, which all provide a different view on disease, and the automated derivation of actionable insights.",4.0
32668634,Gallium Nitride (GaN) Nanostructures and Their Gas Sensing Properties: A Review,2020 Jul 13;20(14):3889.,"In the last two decades, GaN nanostructures of various forms like nanowires (NWs), nanotubes (NTs), nanofibers (NFs), nanoparticles (NPs) and nanonetworks (NNs) have been reported for gas sensing applications. In this paper, we have reviewed our group's work and the works published by other groups on the advances in GaN nanostructures-based sensors for detection of gases such as hydrogen (H2), alcohols (R-OH), methane (CH4), benzene and its derivatives, nitric oxide (NO), nitrogen dioxide (NO2), sulfur-dioxide (SO2), ammonia (NH3), hydrogen sulfide (H2S) and carbon dioxide (CO2). The important sensing performance parameters like limit of detection, response/recovery time and operating temperature for different type of sensors have been summarized and tabulated to provide a thorough performance comparison. A novel metric, the product of response time and limit of detection, has been established, to quantify and compare the overall sensing performance of GaN nanostructure-based devices reported so far. According to this metric, it was found that the InGaN/GaN NW-based sensor exhibits superior overall sensing performance for H2 gas sensing, whereas the GaN/(TiO2-Pt) nanowire-nanoclusters (NWNCs)-based sensor is better for ethanol sensing. The GaN/TiO2 NWNC-based sensor is also well suited for TNT sensing. This paper has also reviewed density-functional theory (DFT)-based first principle studies on the interaction between gas molecules and GaN. The implementation of machine learning algorithms on GaN nanostructured sensors and sensor array has been analyzed as well. Finally, gas sensing mechanism on GaN nanostructure-based sensors at room temperature has been discussed.",3.0
32668442,Deep learning for small and big data in psychiatry,2021 Jan;46(1):176-190.,"Psychiatry today must gain a better understanding of the common and distinct pathophysiological mechanisms underlying psychiatric disorders in order to deliver more effective, person-tailored treatments. To this end, it appears that the analysis of 'small' experimental samples using conventional statistical approaches has largely failed to capture the heterogeneity underlying psychiatric phenotypes. Modern algorithms and approaches from machine learning, particularly deep learning, provide new hope to address these issues given their outstanding prediction performance in other disciplines. The strength of deep learning algorithms is that they can implement very complicated, and in principle arbitrary predictor-response mappings efficiently. This power comes at a cost, the need for large training (and test) samples to infer the (sometimes over millions of) model parameters. This appears to be at odds with the as yet rather 'small' samples available in psychiatric human research to date (n < 10,000), and the ambition of predicting treatment at the single subject level (n = 1). Here, we aim at giving a comprehensive overview on how we can yet use such models for prediction in psychiatry. We review how machine learning approaches compare to more traditional statistical hypothesis-driven approaches, how their complexity relates to the need of large sample sizes, and what we can do to optimally use these powerful techniques in psychiatric neuroscience.",3.0
32665978,Artificial intelligence to improve back pain outcomes and lessons learnt from clinical classification approaches: three systematic reviews,2020 Jul 9;3:93.,"Artificial intelligence and machine learning (AI/ML) could enhance the ability to detect patterns of clinical characteristics in low-back pain (LBP) and guide treatment. We conducted three systematic reviews to address the following aims: (a) review the status of AI/ML research in LBP, (b) compare its status to that of two established LBP classification systems (STarT Back, McKenzie). AI/ML in LBP is in its infancy: 45 of 48 studies assessed sample sizes <1000 people, 19 of 48 studies used ≤5 parameters in models, 13 of 48 studies applied multiple models and attained high accuracy, 25 of 48 studies assessed the binary classification of LBP versus no-LBP only. Beyond the 48 studies using AI/ML for LBP classification, no studies examined use of AI/ML in prognosis prediction of specific sub-groups, and AI/ML techniques are yet to be implemented in guiding LBP treatment. In contrast, the STarT Back tool has been assessed for internal consistency, test-retest reliability, validity, pain and disability prognosis, and influence on pain and disability treatment outcomes. McKenzie has been assessed for inter- and intra-tester reliability, prognosis, and impact on pain and disability outcomes relative to other treatments. For AI/ML methods to contribute to the refinement of LBP (sub-)classification and guide treatment allocation, large data sets containing known and exploratory clinical features should be examined. There is also a need to establish reliability, validity, and prognostic capacity of AI/ML techniques in LBP as well as its ability to inform treatment allocation for improved patient outcomes and/or reduced healthcare costs.",2.0
