pmid,citations,title,date,text
30211115,28.0,The Network of Non-coding RNAs in Cancer Drug Resistance,2018 Aug 29;8:327.,"Non-coding RNAs (ncRNAs) have been implicated in most cellular functions. The disruption of their function through somatic mutations, genomic imprinting, transcriptional and post-transcriptional regulation, plays an ever-increasing role in cancer development. ncRNAs, including notorious microRNAs, have been thus proposed to function as tumor suppressors or oncogenes, often in a context-dependent fashion. In parallel, ncRNAs with altered expression in cancer have been reported to exert a key role in determining drug sensitivity or restoring drug responsiveness in resistant cells. Acquisition of resistance to anti-cancer drugs is a major hindrance to effective chemotherapy and is one of the most important causes of relapse and mortality in cancer patients. For these reasons, non-coding RNAs have become recent focuses as prognostic agents and modifiers of chemo-sensitivity. This review starts with a brief outline of the role of most studied non-coding RNAs in cancer and then highlights the modulation of cancer drug resistance via known ncRNAs based mechanisms. We identified from literature 388 ncRNA-drugs interactions and analyzed them using an unsupervised approach. Essentially, we performed a network analysis of the non-coding RNAs with direct relations with cancer drugs. Within such a machine-learning framework we detected the most representative ncRNAs-drug associations and groups. We finally discussed the higher integration of the drug-ncRNA clusters with the goal of disentangling effectors from downstream effects and further clarify the involvement of ncRNAs in the cellular mechanisms underlying resistance to cancer treatments."
30209997,9.0,A Brief Survey of Machine Learning Application in Cancerlectin Identification,2018;18(5):257-267.,"Proteins with at least one carbohydrate recognition domain are lectins that can identify and reversibly interact with glycan moiety of glycoconjugates or a soluble carbohydrate. It has been proved that lectins can play various vital roles in mediating signal transduction, cell-cell recognition and interaction, immune defense, and so on. Most organisms can synthesize and secret lectins. A portion of lectins closely related to diverse cancers, called cancerlectins, are involved in tumor initiation, growth and recrudescence. Cancerlectins have been investigated for their applications in the laboratory study, clinical diagnosis and therapy, and drug delivery and targeting of cancers. The identification of cancerlectin genes from a lot of lectins is helpful for dissecting cancers. Several cancerlectin prediction tools based on machine learning approaches have been established and have become an excellent complement to experimental methods. In this review, we comprehensively summarize and expound the indispensable materials for implementing cancerlectin prediction models. We hope that this review will contribute to understanding cancerlectins and provide valuable clues for the study of cancerlectins. Novel systems for cancerlectin gene identification are expected to be developed for clinical applications and gene therapy."
30204184,13.0,Towards operando computational modeling in heterogeneous catalysis,2018 Nov 12;47(22):8307-8348.,"An increased synergy between experimental and theoretical investigations in heterogeneous catalysis has become apparent during the last decade. Experimental work has extended from ultra-high vacuum and low temperature towards operando conditions. These developments have motivated the computational community to move from standard descriptive computational models, based on inspection of the potential energy surface at 0 K and low reactant concentrations (0 K/UHV model), to more realistic conditions. The transition from 0 K/UHV to operando models has been backed by significant developments in computer hardware and software over the past few decades. New methodological developments, designed to overcome part of the gap between 0 K/UHV and operando conditions, include (i) global optimization techniques, (ii) ab initio constrained thermodynamics, (iii) biased molecular dynamics, (iv) microkinetic models of reaction networks and (v) machine learning approaches. The importance of the transition is highlighted by discussing how the molecular level picture of catalytic sites and the associated reaction mechanisms changes when the chemical environment, pressure and temperature effects are correctly accounted for in molecular simulations. It is the purpose of this review to discuss each method on an equal footing, and to draw connections between methods, particularly where they may be applied in combination."
30201975,5.0,Paving the way for precision medicine v2.0 in intensive care by profiling necroinflammation in biofluids,2019 Jan;26(1):83-98.,"Current clinical diagnosis is typically based on a combination of approaches including clinical examination of the patient, clinical experience, physiologic and/or genetic parameters, high-tech diagnostic medical imaging, and an extended list of laboratory values mostly determined in biofluids such as blood and urine. One could consider this as precision medicine v1.0. However, recent advances in technology and better understanding of molecular mechanisms underlying disease will allow us to better characterize patients in the future. These improvements will enable us to distinguish patients who have similar clinical presentations but different cellular and molecular responses. Treatments will be able to be chosen more ""precisely"", resulting in more appropriate therapy, precision medicine v2.0. In this review, we will reflect on the potential added value of recent advances in technology and a better molecular understanding of necrosis and inflammation for improving diagnosis and treatment of critically ill patients. We give a brief overview on the mutual interplay between necrosis and inflammation, which are two crucial detrimental factors in organ and/or systemic dysfunction. One of the challenges for the future will thus be the cellular and molecular profiling of necroinflammation in biofluids. The huge amount of data generated by profiling biomolecules and single cells through, for example, different omic-approaches is needed for data mining methods to allow patient-clustering and identify novel biomarkers. The real-time monitoring of biomarkers will allow continuous (re)evaluation of treatment strategies using machine learning models. Ultimately, we may be able to offer precision therapies specifically designed to target the molecular set-up of an individual patient, as has begun to be done in cancer therapeutics."
30201875,2.0,Prediction Methods of Herbal Compounds in Chinese Medicinal Herbs,2018 Sep 10;23(9):2303.,"Chinese herbal medicine has recently gained worldwide attention. The curative mechanism of Chinese herbal medicine is compared with that of western medicine at the molecular level. The treatment mechanism of most Chinese herbal medicines is still not clear. How do we integrate Chinese herbal medicine compounds with modern medicine? Chinese herbal medicine drug-like prediction method is particularly important. A growing number of Chinese herbal source compounds are now widely used as drug-like compound candidates. An important way for pharmaceutical companies to develop drugs is to discover potentially active compounds from related herbs in Chinese herbs. The methods for predicting the drug-like properties of Chinese herbal compounds include the virtual screening method, pharmacophore model method and machine learning method. In this paper, we focus on the prediction methods for the medicinal properties of Chinese herbal medicines. We analyze the advantages and disadvantages of the above three methods, and then introduce the specific steps of the virtual screening method. Finally, we present the prospect of the joint application of various methods."
30201325,6.0,A survey on computer-assisted Parkinson's Disease diagnosis,2019 Apr;95:48-63.,"Background and objective:                    In this work, we present a systematic review concerning the recent enabling technologies as a tool to the diagnosis, treatment and better quality of life of patients diagnosed with Parkinson's Disease (PD), as well as an analysis of future trends on new approaches to this end.              Methods:                    In this review, we compile a number of works published at some well-established databases, such as Science Direct, IEEEXplore, PubMed, Plos One, Multidisciplinary Digital Publishing Institute (MDPI), Association for Computing Machinery (ACM), Springer and Hindawi Publishing Corporation. Each selected work has been carefully analyzed in order to identify its objective, methodology and results.              Results:                    The review showed the majority of works make use of signal-based data, which are often acquired by means of sensors. Also, we have observed the increasing number of works that employ virtual reality and e-health monitoring systems to increase the life quality of PD patients. Despite the different approaches found in the literature, almost all of them make use of some sort of machine learning mechanism to aid the automatic PD diagnosis.              Conclusions:                    The main focus of this survey is to consider computer-assisted diagnosis, and how effective they can be when handling the problem of PD identification. Also, the main contribution of this review is to consider very recent works only, mainly from 2015 and 2016."
30200333,20.0,Machine Learning for Drug-Target Interaction Prediction,2018 Aug 31;23(9):2208.,"Identifying drug-target interactions will greatly narrow down the scope of search of candidate medications, and thus can serve as the vital first step in drug discovery. Considering that in vitro experiments are extremely costly and time-consuming, high efficiency computational prediction methods could serve as promising strategies for drug-target interaction (DTI) prediction. In this review, our goal is to focus on machine learning approaches and provide a comprehensive overview. First, we summarize a brief list of databases frequently used in drug discovery. Next, we adopt a hierarchical classification scheme and introduce several representative methods of each category, especially the recent state-of-the-art methods. In addition, we compare the advantages and limitations of methods in each category. Lastly, we discuss the remaining challenges and future outlook of machine learning in DTI prediction. This article may provide a reference and tutorial insights on machine learning-based DTI prediction for future researchers."
30197419,4.0,"HLBS-PopOmics: an online knowledge base to accelerate dissemination and implementation of research advances in population genomics to reduce the burden of heart, lung, blood, and sleep disorders",2019 Mar;21(3):519-524.,"Recent dramatic advances in multiomics research coupled with exponentially increasing volume, complexity, and interdisciplinary nature of publications are making it challenging for scientists to stay up-to-date on the literature. Strategies to address this challenge include the creation of online databases and warehouses to support timely and targeted dissemination of research findings. Although most of the early examples have been in cancer genomics and pharmacogenomics, the approaches used can be adapted to support investigators in heart, lung, blood, and sleep (HLBS) disorders research. In this article, we describe the creation of an HLBS population genomics (HLBS-PopOmics) knowledge base as an online, continuously updated, searchable database to support the dissemination and implementation of studies and resources that are relevant to clinical and public health practice. In addition to targeted searches based on the HLBS disease categories, cross-cutting themes reflecting the ethical, legal, and social implications of genomics research; systematic evidence reviews; and clinical practice guidelines supporting screening, detection, evaluation, and treatment are also emphasized in HLBS-PopOmics. Future updates of the knowledge base will include additional emphasis on transcriptomics, proteomics, metabolomics, and other omics research; explore opportunities for leveraging data sets designed to support scientific discovery; and incorporate advanced machine learning bioinformatics capabilities."
30195423,5.0,A review of image analysis and machine learning techniques for automated cervical cancer screening from pap-smear images,2018 Oct;164:15-22.,"Background and objective:                    Early diagnosis and classification of a cancer type can help facilitate the subsequent clinical management of the patient. Cervical cancer ranks as the fourth most prevalent cancer affecting women worldwide and its early detection provides the opportunity to help save life. To that end, automated diagnosis and classification of cervical cancer from pap-smear images has become a necessity as it enables accurate, reliable and timely analysis of the condition's progress. This paper presents an overview of the state of the art as articulated in prominent recent publications focusing on automated detection of cervical cancer from pap-smear images.              Methods:                    The survey reviews publications on applications of image analysis and machine learning in automated diagnosis and classification of cervical cancer from pap-smear images spanning 15 years. The survey reviews 30 journal papers obtained electronically through four scientific databases (Google Scholar, Scopus, IEEE and Science Direct) searched using three sets of keywords: (1) segmentation, classification, cervical cancer; (2) medical imaging, machine learning, pap-smear; (3) automated system, classification, pap-smear.              Results:                    Most of the existing algorithms facilitate an accuracy of nearly 93.78% on an open pap-smear data set, segmented using CHAMP digital image software. K-nearest-neighbors and support vector machines algorithms have been reported to be excellent classifiers for cervical images with accuracies of over 99.27% and 98.5% respectively when applied to a 2-class classification problem (normal or abnormal).              Conclusion:                    The reviewed papers indicate that there are still weaknesses in the available techniques that result in low accuracy of classification in some classes of cells. Moreover, most of the existing algorithms work either on single or on multiple cervical smear images. This accuracy can be increased by varying various parameters such as the features to be extracted, improvement in noise removal, using hybrid segmentation and classification techniques such of multi-level classifiers. Combining K-nearest-neighbors algorithm with other algorithm(s) such as support vector machines, pixel level classifications and including statistical shape models can also improve performance. Further, most of the developed classifiers are tested on accurately segmented images using commercially available software such as CHAMP software. There is thus a deficit of evidence that these algorithms will work in clinical settings found in developing countries (where 85% of cervical cancer incidences occur) that lack sufficient trained cytologists and the funds to buy the commercial segmentation software."
30190674,8.0,A Comprehensive Review of Magnetoencephalography (MEG) Studies for Brain Functionality in Healthy Aging and Alzheimer's Disease (AD),2018 Aug 23;12:60.,"Neural oscillations were established with their association with neurophysiological activities and the altered rhythmic patterns are believed to be linked directly to the progression of cognitive decline. Magnetoencephalography (MEG) is a non-invasive technique to record such neuronal activity due to excellent temporal and fair amount of spatial resolution. Single channel, connectivity as well as brain network analysis using MEG data in resting state and task-based experiments were analyzed from existing literature. Single channel analysis studies reported a less complex, more regular and predictable oscillations in Alzheimer's disease (AD) primarily in the left parietal, temporal and occipital regions. Investigations on both functional connectivity (FC) and effective (EC) connectivity analysis demonstrated a loss of connectivity in AD compared to healthy control (HC) subjects found in higher frequency bands. It has been reported from multiplex network of MEG study in AD in the affected regions of hippocampus, posterior default mode network (DMN) and occipital areas, however, conclusions cannot be drawn due to limited availability of clinical literature. Potential utilization of high spatial resolution in MEG likely to provide information related to in-depth brain functioning and underlying factors responsible for changes in neuronal waves in AD. This review is a comprehensive report to investigate diagnostic biomarkers for AD may be identified by from MEG data. It is also important to note that MEG data can also be utilized for the same pursuit in combination with other imaging modalities."
