pmid,citations,title,date,text
31970529,3.0,"Quantifying the Collision Dose in Rugby League: A Systematic Review, Meta-analysis, and Critical Analysis",2020 Jan 22;6(1):6.,"Background:                    Collisions (i.e. tackles, ball carries, and collisions) in the rugby league have the potential to increase injury risk, delay recovery, and influence individual and team performance. Understanding the collision demands of the rugby league may enable practitioners to optimise player health, recovery, and performance.              Objective:                    The aim of this review was to (1) characterise the dose of collisions experienced within senior male rugby league match-play and training, (2) systematically and critically evaluate the methods used to describe the relative and absolute frequency and intensity of collisions, and (3) provide recommendations on collision monitoring.              Methods:                    A systematic search of electronic databases (PubMed, SPORTDiscus, Scopus, and Web of Science) using keywords was undertaken. A meta-analysis provided a pooled mean of collision frequency or intensity metrics on comparable data sets from at least two studies.              Results:                    Forty-three articles addressing the absolute (n) or relative collision frequency (n min-1) or intensity of senior male rugby league collisions were included. Meta-analysis of video-based studies identified that forwards completed approximately twice the number of tackles per game than backs (n = 24.6 vs 12.8), whilst ball carry frequency remained similar between backs and forwards (n = 11.4 vs 11.2). Variable findings were observed at the subgroup level with a limited number of studies suggesting wide-running forwards, outside backs, and hit-up forwards complete similar ball carries whilst tackling frequency differed. For microtechnology, at the team level, players complete an average of 32.7 collisions per match. Limited data suggested hit-up and wide-running forwards complete the most collisions per match, when compared to adjustables and outside backs. Relative to playing time, forwards (n min-1 = 0.44) complete a far greater frequency of collision than backs (n min-1 = 0.16), with data suggesting hit-up forwards undertake more than adjustables, and outside backs. Studies investigating g force intensity zones utilised five unique intensity schemes with zones ranging from 2-3 g to 13-16 g. Given the disparity between device setups and zone classification systems between studies, further analyses were inappropriate. It is recommended that practitioners independently validate microtechnology against video to establish criterion validity.              Conclusions:                    Video- and microtechnology-based methods have been utilised to quantify collisions in the rugby league with differential collision profiles observed between forward and back positional groups, and their distinct subgroups. The ball carry demands of forwards and backs were similar, whilst tackle demands were greater for forwards than backs. Microtechnology has been used inconsistently to quantify collision frequency and intensity. Despite widespread popularity, a number of the microtechnology devices have yet to be appropriately validated. Limitations exist in using microtechnology to quantify collision intensity, including the lack of consistency and limited validation. Future directions include application of machine learning approaches to differentiate types of collisions in microtechnology datasets."
31968694,1.0,Synergistic Approach of Ultrafast Spectroscopy and Molecular Simulations in the Characterization of Intramolecular Charge Transfer in Push-Pull Molecules,2020 Jan 20;25(2):430.,"The comprehensive characterization of Intramolecular Charge Transfer (ICT) stemming in push-pull molecules with a delocalized π-system of electrons is noteworthy for a bespoke design of organic materials, spanning widespread applications from photovoltaics to nanomedicine imaging devices. Photo-induced ICT is characterized by structural reorganizations, which allows the molecule to adapt to the new electronic density distribution. Herein, we discuss recent photophysical advances combined with recent progresses in the computational chemistry of photoactive molecular ensembles. We focus the discussion on femtosecond Transient Absorption Spectroscopy (TAS) enabling us to follow the transition from a Locally Excited (LE) state to the ICT and to understand how the environment polarity influences radiative and non-radiative decay mechanisms. In many cases, the charge transfer transition is accompanied by structural rearrangements, such as the twisting or molecule planarization. The possibility of an accurate prediction of the charge-transfer occurring in complex molecules and molecular materials represents an enormous advantage in guiding new molecular and materials design. We briefly report on recent advances in ultrafast multidimensional spectroscopy, in particular, Two-Dimensional Electronic Spectroscopy (2DES), in unraveling the ICT nature of push-pull molecular systems. A theoretical description at the atomistic level of photo-induced molecular transitions can predict with reasonable accuracy the properties of photoactive molecules. In this framework, the review includes a discussion on the advances from simulation and modeling, which have provided, over the years, significant information on photoexcitation, emission, charge-transport, and decay pathways. Density Functional Theory (DFT) coupled with the Time-Dependent (TD) framework can describe electronic properties and dynamics for a limited system size. More recently, Machine Learning (ML) or deep learning approaches, as well as free-energy simulations containing excited state potentials, can speed up the calculations with transferable accuracy to more complex molecules with extended system size. A perspective on combining ultrafast spectroscopy with molecular simulations is foreseen for optimizing the design of photoactive compounds with tunable properties."
31965266,24.0,Machine learning for the prediction of sepsis: a systematic review and meta-analysis of diagnostic test accuracy,2020 Mar;46(3):383-400.,"Purpose:                    Early clinical recognition of sepsis can be challenging. With the advancement of machine learning, promising real-time models to predict sepsis have emerged. We assessed their performance by carrying out a systematic review and meta-analysis.              Methods:                    A systematic search was performed in PubMed, Embase.com and Scopus. Studies targeting sepsis, severe sepsis or septic shock in any hospital setting were eligible for inclusion. The index test was any supervised machine learning model for real-time prediction of these conditions. Quality of evidence was assessed using the Grading of Recommendations Assessment, Development and Evaluation (GRADE) methodology, with a tailored Quality Assessment of Diagnostic Accuracy Studies (QUADAS-2) checklist to evaluate risk of bias. Models with a reported area under the curve of the receiver operating characteristic (AUROC) metric were meta-analyzed to identify strongest contributors to model performance.              Results:                    After screening, a total of 28 papers were eligible for synthesis, from which 130 models were extracted. The majority of papers were developed in the intensive care unit (ICU, n = 15; 54%), followed by hospital wards (n = 7; 25%), the emergency department (ED, n = 4; 14%) and all of these settings (n = 2; 7%). For the prediction of sepsis, diagnostic test accuracy assessed by the AUROC ranged from 0.68-0.99 in the ICU, to 0.96-0.98 in-hospital and 0.87 to 0.97 in the ED. Varying sepsis definitions limit pooling of the performance across studies. Only three papers clinically implemented models with mixed results. In the multivariate analysis, temperature, lab values, and model type contributed most to model performance.              Conclusion:                    This systematic review and meta-analysis show that on retrospective data, individual machine learning models can accurately predict sepsis onset ahead of time. Although they present alternatives to traditional scoring systems, between-study heterogeneity limits the assessment of pooled results. Systematic reporting and clinical implementation studies are needed to bridge the gap between bytes and bedside."
31963480,2.0,Can Artificial Intelligence Improve the Management of Pneumonia,2020 Jan 17;9(1):248.,"The use of artificial intelligence (AI) to support clinical medical decisions is a rather promising concept. There are two important factors that have driven these advances: the availability of data from electronic health records (EHR) and progress made in computational performance. These two concepts are interrelated with respect to complex mathematical functions such as machine learning (ML) or neural networks (NN). Indeed, some published articles have already demonstrated the potential of these approaches in medicine. When considering the diagnosis and management of pneumonia, the use of AI and chest X-ray (CXR) images primarily have been indicative of early diagnosis, prompt antimicrobial therapy, and ultimately, better prognosis. Coupled with this is the growing research involving empirical therapy and mortality prediction, too. Maximizing the power of NN, the majority of studies have reported high accuracy rates in their predictions. As AI can handle large amounts of data and execute mathematical functions such as machine learning and neural networks, AI can be revolutionary in supporting the clinical decision-making processes. In this review, we describe and discuss the most relevant studies of AI in pneumonia."
31962244,2.0,Incorporating biological structure into machine learning models in biomedicine,2020 Jun;63:126-134.,"In biomedical applications of machine learning, relevant information often has a rich structure that is not easily encoded as real-valued predictors. Examples of such data include DNA or RNA sequences, gene sets or pathways, gene interaction or coexpression networks, ontologies, and phylogenetic trees. We highlight recent examples of machine learning models that use structure to constrain model architecture or incorporate structured data into model training. For machine learning in biomedicine, where sample size is limited and model interpretability is crucial, incorporating prior knowledge in the form of structured data can be particularly useful. The area of research would benefit from performant open source implementations and independent benchmarking efforts."
31960771,2.0,Carotid artery ultrasound image analysis: A review of the literature,2020 May;234(5):417-443.,"Stroke is one of the prominent causes of death in the recent days. The existence of susceptible plaque in the carotid artery can be used in ascertaining the possibilities of cardiovascular diseases and long-term disabilities. The imaging modality used for early screening of the disease is B-mode ultrasound image of the person in the artery area. The objective of this article is to give a widespread review of the imaging modes and methods used for studying the carotid artery for identifying stroke, atherosclerosis and related cardiovascular diseases. We encompass the review in methods used for artery wall tracking, intima-media, and lumen segmentation which will help in finding the extent of the disease. Due to the characteristics of the imaging modality used, the images have speckle noise which worsens the image quality. Adaptive homomorphic filtering with wavelet and contourlet transforms, Levy Shrink, gamma distribution were used for image denoising. Learning-based neural network approaches for denoising give better edge preservation. Domain knowledge-based segmentation approaches have proved to provide more accurate intima-media thickness measurements. There is a requirement of useful fully automatic segmentation approaches, 3D, 4D systems, and plaque motion analysis. Taking into consideration the image priors like geometry, imaging physics, intensity and temporal data, image analysis has to be performed. Encouragingly more research has focused on content-specific segmentation and classification techniques. With the evaluation of machine learning algorithms, classifying the image as with or without a fat deposit has gained better accuracy and sensitivity. Machine learning-based approaches like self-organizing map, k-nearest neighborhood and support vector machine achieve promising accuracy and sensitivity in classification. The literature reveals that there is more scope in identifying a patient-specific model in a fully automatic manner."
31960635,1.0,"Future Directions in Coronary CT Angiography: CT-Fractional Flow Reserve, Plaque Vulnerability, and Quantitative Plaque Assessment",2020 Mar;50(3):185-202.,"Coronary computed tomography angiography (CCTA) is a well-validated and noninvasive imaging modality for the assessment of coronary artery disease (CAD) in patients with stable ischemic heart disease and acute coronary syndromes (ACSs). CCTA not only delineates the anatomy of the heart and coronary arteries in detail, but also allows for intra- and extraluminal imaging of coronary arteries. Emerging technologies have promoted new CCTA applications, resulting in a comprehensive assessment of coronary plaques and their clinical significance. The application of computational fluid dynamics to CCTA resulted in a robust tool for noninvasive assessment of coronary blood flow hemodynamics and determination of hemodynamically significant stenosis. Detailed evaluation of plaque morphology and identification of high-risk plaque features by CCTA have been confirmed as predictors of future outcomes, identifying patients at risk for ACSs. With quantitative coronary plaque assessment, the progression of the CAD or the response to therapy could be monitored by CCTA. The aim of this article is to review the future directions of emerging applications in CCTA, such as computed tomography (CT)-fractional flow reserve, imaging of vulnerable plaque features, and quantitative plaque imaging. We will also briefly discuss novel methods appearing in the coronary imaging scenario, such as machine learning, radiomics, and spectral CT."
31960407,6.0,What is AI? Applications of artificial intelligence to dermatology,2020 Sep;183(3):423-430.,"In the past, the skills required to make an accurate dermatological diagnosis have required exposure to thousands of patients over many years. However, in recent years, artificial intelligence (AI) has made enormous advances, particularly in the area of image classification. This has led computer scientists to apply these techniques to develop algorithms that are able to recognize skin lesions, particularly melanoma. Since 2017, there have been numerous studies assessing the accuracy of algorithms, with some reporting that the accuracy matches or surpasses that of a dermatologist. While the principles underlying these methods are relatively straightforward, it can be challenging for the practising dermatologist to make sense of a plethora of unfamiliar terms in this domain. Here we explain the concepts of AI, machine learning, neural networks and deep learning, and explore the principles of how these tasks are accomplished. We critically evaluate the studies that have assessed the efficacy of these methods and discuss limitations and potential ethical issues. The burden of skin cancer is growing within the Western world, with major implications for both population skin health and the provision of dermatology services. AI has the potential to assist in the diagnosis of skin lesions and may have particular value at the interface between primary and secondary care. The emerging technology represents an exciting opportunity for dermatologists, who are the individuals best informed to explore the utility of this powerful novel diagnostic tool, and facilitate its safe and ethical implementation within healthcare systems."
31960282,3.0,Artificial Intelligence and Polyp Detection,2020 Jan 21;10.1007/s11938-020-00274-2.,"Purpose of review:                    This review highlights the history, recent advances, and ongoing challenges of artificial intelligence (AI) technology in colonic polyp detection.              Recent findings:                    Hand-crafted AI algorithms have recently given way to convolutional neural networks with the ability to detect polyps in real-time. The first randomized controlled trial comparing an AI system to standard colonoscopy found a 9% increase in adenoma detection rate, but the improvement was restricted to polyps smaller than 10 mm and the results need validation. As this field rapidly evolves, important issues to consider include standardization of outcomes, dataset availability, real-world applications, and regulatory approval. AI has shown great potential for improving colonic polyp detection while requiring minimal training for endoscopists. The question of when AI will enter endoscopic practice depends on whether the technology can be integrated into existing hardware and an assessment of its added value for patient care."
31958430,1.0,"Engineering Stability, Viscosity, and Immunogenicity of Antibodies by Computational Design",2020 May;109(5):1631-1651.,"In recent years, computational methods have garnered much attention in protein engineering. A large number of computational methods have been developed to analyze the sequences and structures of proteins and have been used to predict the various properties. Antibodies are one of the emergent protein therapeutics, and thus, methods to control their physicochemical properties are highly desirable. However, despite the tremendous efforts of past decades, computational methods to predict the physicochemical properties of antibodies are still in their infancy. Experimental validations are certainly required for real-world applications, and the results should be interpreted with caution. Among the various properties of antibodies, we focus in this review on stability, viscosity, and immunogenicity, and we present the current status of computational methods to engineer such properties."
