pmid,title,date,text,citations
31522268,"Distress, Suicidality, and Affective Disorders at the Time of Social Networks",2019 Sep 14;21(10):98.,"Purpose of review:                    We reviewed how scholars recently addressed the complex relationship that binds distress, affective disorders, and suicidal behaviors on the one hand and social networking on the other. We considered the latest machine learning performances in detecting affective-related outcomes from social media data, and reviewed understandings of how, why, and with what consequences distressed individuals use social network sites. Finally, we examined how these insights may concretely instantiate on the individual level with a qualitative case series.              Recent findings:                    Machine learning classifiers are progressively stabilizing with moderate to high performances in detecting affective-related diagnosis, symptoms, and risks from social media linguistic markers. Qualitatively, such markers appear to translate ambivalent and socially constrained motivations such as self-disclosure, passive support seeking, and connectedness reinforcement. Binding data science and psychosocial research appears as the unique condition to ground a translational web-clinic for treating and preventing affective-related issues on social media.",
31522256,Fatal and Non-fatal Self-Injury in the USA: Critical Review of Current Trends and Innovations in Prevention,2019 Sep 14;21(10):104.,"Purpose of review:                    To examine current trends in suicide and self-injury in the USA, as well as potential contributors to their change over time, and to reflect on innovations in prevention and intervention that can guide policies and programs to reduce the burden of suicide and self-injury in the USA.              Recent findings:                    Suicide and non-fatal self-injury are on the rise in the USA. Reasons for such trends over time remain speculative, although they seem linked to coincident increases in mood disorders and drug use and overdose. Promising innovative prevention and intervention programs that engage new technologies, such as machine learning-derived prediction tools and computerized ecologic momentary assessments, are currently in development and require additional evidence. Recent increases in fatal and non-fatal self-harm in the USA raise questions about the causes, interventions, and preventive measures that should be taken. Most innovative prevention efforts target individuals seeking to improve risk prediction and access to evidence-based care. However, as Durkheim pointed out over 100 years ago, suicide rates vary enormously between societal groups, suggesting that certain causal factors of suicide act and, hence, should be targeted at an ecological level. In the next generation of suicide research, it is critical to examine factors beyond the proximal and clinical to allow for a reimagining of prevention that is life course and socially focused.",2.0
31521533,The genetic architecture of Parkinson's disease,2020 Feb;19(2):170-178.,"Parkinson's disease is a complex neurodegenerative disorder for which both rare and common genetic variants contribute to disease risk, onset, and progression. Mutations in more than 20 genes have been associated with the disease, most of which are highly penetrant and often cause early onset or atypical symptoms. Although our understanding of the genetic basis of Parkinson's disease has advanced considerably, much remains to be done. Further disease-related common genetic variability remains to be identified and the work in identifying rare risk alleles has only just begun. To date, genome-wide association studies have identified 90 independent risk-associated variants. However, most of them have been identified in patients of European ancestry and we know relatively little of the genetics of Parkinson's disease in other populations. We have a limited understanding of the biological functions of the risk alleles that have been identified, although Parkinson's disease risk variants appear to be in close proximity to known Parkinson's disease genes and lysosomal-related genes. In the past decade, multiple efforts have been made to investigate the genetic architecture of Parkinson's disease, and emerging technologies, such as machine learning, single-cell RNA sequencing, and high-throughput screens, will improve our understanding of genetic risk.",49.0
31521378,Machine learning in the electrocardiogram,Nov-Dec 2019;57S:S61-S64.,"The electrocardiogram is the most widely used diagnostic tool that records the electrical activity of the heart and, therefore, its use for identifying markers for early diagnosis and detection is of paramount importance. In the last years, the huge increase of electronic health records containing a systematised collection of different type of digitalised medical data, together with new tools to analyse this large amount of data in an efficient way have re-emerged the field of machine learning in healthcare innovation. This review describes the most recent machine learning-based systems applied to the electrocardiogram as well as pros and cons in the use of these techniques. Machine learning, including deep learning, have shown to be powerful tools for aiding clinicians in patient screening and risk stratification tasks. However, they do not provide the physiological basis of classification outcomes. Computational modelling and simulation can help in the interpretation and understanding of key physiologically meaningful ECG biomarkers extracted from machine learning techniques.",4.0
31521235,Computational prediction of functions of intrinsically disordered regions,2019;166:341-369.,"Intrinsically disorder regions (IDRs) are abundant in nature, particularly among Eukaryotes. While they facilitate a wide spectrum of cellular functions including signaling, molecular assembly and recognition, translation, transcription and regulation, only several hundred IDRs are annotated functionally. This annotation gap motivates the development of fast and accurate computational methods that predict IDR functions directly from protein sequences. We introduce and describe a comprehensive collection of 25 methods that provide accurate predictions of IDRs that interact with proteins and nucleic acids, that function as flexible linkers and that moonlight multiple functions. Virtually all of these predictors can be accessed online and many were developed in the last few years. They utilize a wide range of predictive architectures and take advantage of modern machine learning algorithms. Our empirical analysis shows that predictors that are available as webservers enjoy high rates of citations, attesting to their practical value and popularity. The most cited methods include DISOPRED3, ANCHOR, alpha-MoRFpred, MoRFpred, fMoRFpred and MoRFCHiBi. We present two case studies to demonstrate that predictions produced by these computational tools are relatively easy to interpret and that they deliver valuable functional clues. However, the current computational tools cover a relatively narrow range of disorder functions. Further development efforts that would cover a broader range of functions should be pursued. We demonstrate that a sufficient amount of functionally annotated IDRs that are associated with several other disorder functions is already available and can be used to design and validate novel predictors.",3.0
31521231,Intrinsically disordered proteins in various hypotheses on the pathogenesis of Alzheimer's and Parkinson's diseases,2019;166:145-223.,"Amyloid-β (Aβ) and α-synuclein (αS) are two intrinsically disordered proteins (IDPs) at the centers of the pathogenesis of Alzheimer's and Parkinson's diseases, respectively. Different hypotheses have been proposed for explanation of the molecular mechanisms of the pathogenesis of these two diseases, with these two IDPs being involved in many of these hypotheses. Currently, we do not know, which of these hypothesis is more accurate. Experiments face challenges due to the rapid conformational changes, fast aggregation processes, solvent and paramagnetic effects in studying these two IDPs in detail. Furthermore, pathological modifications impact their structures and energetics. Theoretical studies using computational chemistry and computational biology have been utilized to understand the structures and energetics of Aβ and αS. In this chapter, we introduce Aβ and αS in light of various hypotheses, and discuss different experimental and theoretical techniques that are used to study these two proteins along with their weaknesses and strengths. We suggest that a promising solution for studying Aβ and αS at the center of varying hypotheses could be provided by developing new techniques that link quantum mechanics, statistical mechanics, thermodynamics, bioinformatics to machine learning. Such new developments could also lead to development in experimental techniques.",3.0
31518831,Comprehensive intra-individual genomic and transcriptional heterogeneity: Evidence-based Colorectal Cancer Precision Medicine,2019 Nov;80:101894.,"Despite advances in translating conventional research into multi-modal treatment for colorectal cancer (CRC), therapeutic resistance and relapse remain unresolved in advanced resectable and, particularly, non-resectable disease. Genome and transcriptome sequencing and editing technologies, coupled with interaction mapping and machine learning, are transforming biomedical research, representing the most rational hope to overcome unmet research and clinical challenges. Rapid progress in both bulk and single-cell next-generation sequencing (NGS) analyses in the identification of primary and metastatic intratumor genomic and transcriptional heterogeneity (ITH) and the detection of circulating cell-free DNA (cfDNA) alterations is providing critical insight into the origins and spatiotemporal evolution of genomic clones responsible for early and late therapeutic resistance and relapse. Moreover, DNA and RNA editing pave new avenues towards the discovery of novel drug targets. Breakthrough combinations of sequencing and editing systems with technologies exploring dynamic interaction networks within pioneering studies could delineate how coding and non-coding mutations perturb regulatory networks and gene expression. This review discusses latest data on genomic and transcriptomic landscapes in time and space, as well as early-phase clinical trials on targeted drug combinations, highlighting the transition from research to clinical Colorectal Cancer Precision Medicine, through non-invasive screening, individualized drug response prediction and development of multiple novel drugs. Future studies exploring the potential to target key transcriptional drivers and regulators will contribute to the next-generation pharmaceutical controllability of multi-layered aberrant transcriptional biocircuits.",9.0
31518513,Big Data and Artificial Intelligence Modeling for Drug Discovery,2020 Jan 6;60:573-589.,"Due to the massive data sets available for drug candidates, modern drug discovery has advanced to the big data era. Central to this shift is the development of artificial intelligence approaches to implementing innovative modeling based on the dynamic, heterogeneous, and large nature of drug data sets. As a result, recently developed artificial intelligence approaches such as deep learning and relevant modeling studies provide new solutions to efficacy and safety evaluations of drug candidates based on big data modeling and analysis. The resulting models provided deep insights into the continuum from chemical structure to in vitro, in vivo, and clinical outcomes. The relevant novel data mining, curation, and management techniques provided critical support to recent modeling studies. In summary, the new advancement of artificial intelligence in the big data era has paved the road to future rational drug development and optimization, which will have a significant impact on drug discovery procedures and, eventually, public health.",9.0
31513851,Optical coherence tomography diagnostic signs in posterior uveitis,2020 Mar;75:100797.,"A diagnostic sign refers to a quantifiable biological parameter that is measured and evaluated as an indicator of normal biological, pathogenic, or pharmacologic responses to a therapeutic intervention. When used in translational research discussions, the term itself often alludes to a sign used to accelerate or aid in diagnosis or monitoring and provide insight into ""personalized"" medicine. Many new diagnostic signs are being developed that involve imaging technology. Optical coherence tomography is an imaging technique that provides in vivo quasi-histological images of the ocular tissues and as such it's able to capture the structural and functional modifications that accompany inflammation and infection of the posterior part of the eye. From the hyperreflective inflammatory cells and deposits in the vitreous and on the hyaloid, to the swollen photoreceptors bodies in multiple evanescent white dots syndrome, and from optical differences in the subretinal fluid compartments in Vogt-Koyanagi-Harada disease to the hyporeflective granulomas in the choroid, these tomographical signs can be validated to reach the status of biomarkers. Such non-invasive imaging diagnostic signs of inflammation can be very useful to clinicians seeking to make a diagnosis and can represent a dataset for machine learning to offer a more empirical approach to the detection of posterior uveitis.",5.0
31513757,Remaining challenges in predicting patient outcomes for diffuse large B-cell lymphoma,2019 Nov;12(11):959-973.,"Introduction: Diffuse large B-cell lymphoma (DLBCL) is the most common non-Hodgkin lymphoma and is an aggressive malignancy with heterogeneous outcomes. Diverse methods for DLBCL outcomes assessment ranging from clinical to genomic have been developed with variable predictive and prognostic success.Areas covered: The authors provide an overview of the various methods currently used to estimate prognosis in DLBCL patients. Models incorporating cell of origin, genomic features, sociodemographic factors, treatment effectiveness measures, and machine learning are described.Expert opinion: The clinical and genetic heterogeneity of DLBCL presents distinct challenges in predicting response to therapy and overall prognosis. Successful integration of predictive and prognostic tools in clinical trials and in a standard clinical workflow for DLBCL will likely require a combination of methods incorporating clinical, sociodemographic, and molecular factors with the aid of machine learning and high-dimensional data analysis.",1.0
