pmid,citations,title,date,text
32416782,10.0,Artificial intelligence and the future of global health,2020 May 16;395(10236):1579-1586.,"Concurrent advances in information technology infrastructure and mobile computing power in many low and middle-income countries (LMICs) have raised hopes that artificial intelligence (AI) might help to address challenges unique to the field of global health and accelerate achievement of the health-related sustainable development goals. A series of fundamental questions have been raised about AI-driven health interventions, and whether the tools, methods, and protections traditionally used to make ethical and evidence-based decisions about new technologies can be applied to AI. Deployment of AI has already begun for a broad range of health issues common to LMICs, with interventions focused primarily on communicable diseases, including tuberculosis and malaria. Types of AI vary, but most use some form of machine learning or signal processing. Several types of machine learning methods are frequently used together, as is machine learning with other approaches, most often signal processing. AI-driven health interventions fit into four categories relevant to global health researchers: (1) diagnosis, (2) patient morbidity or mortality risk assessment, (3) disease outbreak prediction and surveillance, and (4) health policy and planning. However, much of the AI-driven intervention research in global health does not describe ethical, regulatory, or practical considerations required for widespread use or deployment at scale. Despite the field remaining nascent, AI-driven health interventions could lead to improved health outcomes in LMICs. Although some challenges of developing and deploying these interventions might not be unique to these settings, the global health community will need to work quickly to establish guidelines for development, testing, and use, and develop a user-driven research agenda to facilitate equitable and ethical use."
32414188,,Future Is Unlicensed: Private 5G Unlicensed Network for Connecting Industries of Future,2020 May 13;20(10):2774.,"This paper aims to unlock the unlicensed band potential in realizing the Industry 4.0 communication goals of the Fifth-Generation (5G) and beyond. New Radio in the Unlicensed band (NR-U) is a new NR Release 16 mode of operation that has the capability to offer the necessary technology for cellular operators to integrate the unlicensed spectrum into 5G networks. NR-U enables both uplink and downlink operation in unlicensed bands, supporting 5G advanced features of ultra-high-speed, high bandwidth, low latency, and improvement in the reliability of wireless communications, which is essential to address massive-scale and highly-diverse future industrial networks. This paper highlights NR-U as a next-generation communication technology for smart industrial network communication and discusses the technology trends adopted by 5G in support of the Industry 4.0 revolution. However, due to operation in the shared/unlicensed spectrum, NR-U possesses several regulatory and coexistence challenges, limiting its application for operationally intensive environments such as manufacturing, supply chain, transportation systems, and energy. Thus, we discuss the significant challenges and potential solution approaches such as shared maximum channel occupancy time (MCOT), handover skipping, the self-organized network (SON), the adaptive back-off mechanism, and the multi-domain coexistence approach to overcome the unlicensed/shared band challenges and boost the realization of NR-U technology in mission-critical industrial applications. Further, we highlight the role of machine learning in providing the necessary intelligence and adaptation mechanisms for the realization of industrial 5G communication goals."
32413821,23.0,A review of modern technologies for tackling COVID-19 pandemic,Jul-Aug 2020;14(4):569-573.,"Objective:                    Science and technology sector constituting of data science, machine learning and artificial intelligence are contributing towards COVID-19. The aim of the present study is to discuss the various aspects of modern technology used to fight against COVID-19 crisis at different scales, including medical image processing, disease tracking, prediction outcomes, computational biology and medicines.              Methods:                    A progressive search of the database related to modern technology towards COVID-19 is made. Further, a brief review is done on the extracted information by assessing the various aspects of modern technologies for tackling COVID-19 pandemic.              Results:                    We provide a window of thoughts on review of the technology advances used to decrease and smother the substantial impact of the outburst. Though different studies relating to modern technology towards COVID-19 have come up, yet there are still constrained applications and contributions of technology in this fight.              Conclusions:                    On-going progress in the modern technology has contributed in improving people's lives and hence there is a solid conviction that validated research plans including artificial intelligence will be of significant advantage in helping people to fight this infection."
32411818,3.0,Report on computational assessment of Tumor Infiltrating Lymphocytes from the International Immuno-Oncology Biomarker Working Group,2020 May 12;6:16.,"Assessment of tumor-infiltrating lymphocytes (TILs) is increasingly recognized as an integral part of the prognostic workflow in triple-negative (TNBC) and HER2-positive breast cancer, as well as many other solid tumors. This recognition has come about thanks to standardized visual reporting guidelines, which helped to reduce inter-reader variability. Now, there are ripe opportunities to employ computational methods that extract spatio-morphologic predictive features, enabling computer-aided diagnostics. We detail the benefits of computational TILs assessment, the readiness of TILs scoring for computational assessment, and outline considerations for overcoming key barriers to clinical translation in this arena. Specifically, we discuss: 1. ensuring computational workflows closely capture visual guidelines and standards; 2. challenges and thoughts standards for assessment of algorithms including training, preanalytical, analytical, and clinical validation; 3. perspectives on how to realize the potential of machine learning models and to overcome the perceptual and practical limits of visual scoring."
32410553,,Application of Artificial Intelligence in Pharmaceutical and Biomedical Studies,2020;26(29):3569-3578.,"Background:                    Artificial intelligence (AI) is the way to model human intelligence to accomplish certain tasks without much intervention of human beings. The term AI was first used in 1956 with The Logic Theorist program, which was designed to simulate problem-solving ability of human beings. There have been a significant amount of research works using AI in order to determine the advantages and disadvantages of its applicabication and, future perspectives that impact different areas of society. Even the remarkable impact of AI can be transferred to the field of healthcare with its use in pharmaceutical and biomedical studies crucial for the socioeconomic development of the population in general within different studies, we can highlight those that have been conducted with the objective of treating diseases, such as cancer, neurodegenerative diseases, among others. In parallel, the long process of drug development also requires the application of AI to accelerate research in medical care.              Methods:                    This review is based on research material obtained from PubMed up to Jan 2020. The search terms include ""artificial intelligence"", ""machine learning"" in the context of research on pharmaceutical and biomedical applications.              Results:                    This study aimed to highlight the importance of AI in the biomedical research and also recent studies that support the use of AI to generate tools using patient data to improve outcomes. Other studies have demonstrated the use of AI to create prediction models to determine response to cancer treatment.              Conclusion:                    The application of AI in the field of pharmaceutical and biomedical studies has been extensive, including cancer research, for diagnosis as well as prognosis of the disease state. It has become a tool for researchers in the management of complex data, ranging from obtaining complementary results to conventional statistical analyses. AI increases the precision in the estimation of treatment effect in cancer patients and determines prediction outcomes."
32410356,2.0,Quantitative Prostate MRI,2020 May 15.,"Prostate MRI is reported in clinical practice using the Prostate Imaging and Data Reporting System (PI-RADS). PI-RADS aims to standardize, as much as possible, the acquisition, interpretation, reporting, and ultimately the performance of prostate MRI. PI-RADS relies upon mainly subjective analysis of MR imaging findings, with very few incorporated quantitative features. The shortcomings of PI-RADS are mainly: low-to-moderate interobserver agreement and modest accuracy for detection of clinically significant tumors in the transition zone. The use of a more quantitative analysis of prostate MR imaging findings is therefore of interest. Quantitative MR imaging features including: tumor size and volume, tumor length of capsular contact, tumor apparent diffusion coefficient (ADC) metrics, tumor T1 and T2 relaxation times, tumor shape, and texture analyses have all shown value for improving characterization of observations detected on prostate MRI and for differentiating between tumors by their pathological grade and stage. Quantitative analysis may therefore improve diagnostic accuracy for detection of cancer and could be a noninvasive means to predict patient prognosis and guide management. Since quantitative analysis of prostate MRI is less dependent on an individual users' assessment, it could also improve interobserver agreement. Semi- and fully automated analysis of quantitative (radiomic) MRI features using artificial neural networks represent the next step in quantitative prostate MRI and are now being actively studied. Validation, through high-quality multicenter studies assessing diagnostic accuracy for clinically significant prostate cancer detection, in the domain of quantitative prostate MRI is needed. This article reviews advances in quantitative prostate MRI, highlighting the strengths and limitations of existing and emerging techniques, as well as discussing opportunities and challenges for evaluation of prostate MRI in clinical practice when using quantitative assessment. LEVEL OF EVIDENCE: 5 TECHNICAL EFFICACY: Stage 2."
32408531,7.0,"Massive MIMO Systems for 5G and Beyond Networks-Overview, Recent Trends, Challenges, and Future Research Direction",2020 May 12;20(10):2753.,"The global bandwidth shortage in the wireless communication sector has motivated the study and exploration of wireless access technology known as massive Multiple-Input Multiple-Output (MIMO). Massive MIMO is one of the key enabling technology for next-generation networks, which groups together antennas at both transmitter and the receiver to provide high spectral and energy efficiency using relatively simple processing. Obtaining a better understating of the massive MIMO system to overcome the fundamental issues of this technology is vital for the successful deployment of 5G-and beyond-networks to realize various applications of the intelligent sensing system. In this paper, we present a comprehensive overview of the key enabling technologies required for 5G and 6G networks, highlighting the massive MIMO systems. We discuss all the fundamental challenges related to pilot contamination, channel estimation, precoding, user scheduling, energy efficiency, and signal detection in a massive MIMO system and discuss some state-of-the-art mitigation techniques. We outline recent trends such as terahertz communication, ultra massive MIMO (UM-MIMO), visible light communication (VLC), machine learning, and deep learning for massive MIMO systems. Additionally, we discuss crucial open research issues that direct future research in massive MIMO systems for 5G and beyond networks."
32407044,,The Role of Research and Technology in the Changing Ocean Economy: Proceedings of a Workshop—in Brief,,"Oceans have long been a frontier of opportunity for exploration, scientific understanding, commerce, and trade for the United States. The transformative technologies of the fourth industrial revolution — artificial intelligence, machine learning, robotics, Internet of Things, biotechnology, advanced materials — are expected to recondition traditional ocean-based industries and enable the growth of new markets prioritizing sustainability. At the nexus of unprecedented environmental change and rapid technology innovation, how should the United States position itself as a leader in the global ocean economy? On February 4 and 5, 2020, the Government-University-Industry Research Roundtable convened experts to discuss the importance of cross-sector collaboration and the opportunities for U.S. leadership in the context of a changing ocean and a changing ocean economy. This publication highlights the presentation and discussion of the workshop."
32408309,1.0,Oncology Informatics: Status Quo and Outlook,2020;98(6):329-331.,"Oncology has undergone rapid progress, with emerging developments in areas including cancer stem cells, molecularly targeted therapies, genomic analyses, and individually tailored immunotherapy. These advances have expanded the tools available in the fight against cancer. Some of these have seen broad media coverage resulting in justified public attention. However, these achievements have only been possible due to rapid developments in the expanding field of biomedical informatics and information technology (IT). Artificial intelligence, radiomics, electronic health records, and electronic patient-reported outcome measures (ePROMS) are only a few of the developments enabling further progress in oncology. The promising impact of IT in oncology will only become reality through a multidisciplinary approach to the complex challenges ahead."
32405554,2.0,Imaging in Spine Surgery: Current Concepts and Future Directions,2019 Nov 1;4(2):99-110.,"Objective:                    To review and highlight the historical and recent advances of imaging in spine surgery and to discuss current applications and future directions.              Methods:                    A PubMed review of the current literature was performed on all relevant articles that examined historical and recent imaging techniques used in spine surgery. Studies were examined for their thoroughness in description of various modalities and applications in current and future management.              Results:                    We reviewed 97 articles that discussed past, present, and future applications for imaging in spine surgery. Although most historical approaches relied heavily upon basic radiography, more recent advances have begun to expand upon advanced modalities, including the integration of more sophisticated equipment and artificial intelligence.              Conclusions:                    Since the days of conventional radiography, various modalities have emerged and become integral components of the spinal surgeon's diagnostic armamentarium. As such, it behooves the practitioner to remain informed on the current trends and potential developments in spinal imaging, as rapid adoption and interpretation of new techniques may make significant differences in patient management and outcomes. Future directions will likely become increasingly sophisticated as the implementation of machine learning, and artificial intelligence has become more commonplace in clinical practice."
